,gameCreation,gameDuration,gameId,gameMode,gameType,gameVersion,mapId,platformId,queueId,seasonId,date,shortVersion,participantId,player.accountId,player.currentAccountId,player.currentPlatformId,player.matchHistoryUri,player.platformId,player.profileIcon,player.summonerId,player.summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,stats.assists,stats.champLevel,stats.combatPlayerScore,stats.damageDealtToObjectives,stats.damageDealtToTurrets,stats.damageSelfMitigated,stats.deaths,stats.doubleKills,stats.firstBloodAssist,stats.firstBloodKill,stats.firstInhibitorAssist,stats.firstInhibitorKill,stats.firstTowerAssist,stats.firstTowerKill,stats.goldEarned,stats.goldSpent,stats.inhibitorKills,stats.item0,stats.item1,stats.item2,stats.item3,stats.item4,stats.item5,stats.item6,stats.killingSprees,stats.kills,stats.largestCriticalStrike,stats.largestKillingSpree,stats.largestMultiKill,stats.longestTimeSpentLiving,stats.magicDamageDealt,stats.magicDamageDealtToChampions,stats.magicalDamageTaken,stats.neutralMinionsKilled,stats.neutralMinionsKilledEnemyJungle,stats.neutralMinionsKilledTeamJungle,stats.objectivePlayerScore,stats.participantId,stats.pentaKills,stats.perk0,stats.perk0Var1,stats.perk0Var2,stats.perk0Var3,stats.perk1,stats.perk1Var1,stats.perk1Var2,stats.perk1Var3,stats.perk2,stats.perk2Var1,stats.perk2Var2,stats.perk2Var3,stats.perk3,stats.perk3Var1,stats.perk3Var2,stats.perk3Var3,stats.perk4,stats.perk4Var1,stats.perk4Var2,stats.perk4Var3,stats.perk5,stats.perk5Var1,stats.perk5Var2,stats.perk5Var3,stats.perkPrimaryStyle,stats.perkSubStyle,stats.physicalDamageDealt,stats.physicalDamageDealtToChampions,stats.physicalDamageTaken,stats.playerScore0,stats.playerScore1,stats.playerScore2,stats.playerScore3,stats.playerScore4,stats.playerScore5,stats.playerScore6,stats.playerScore7,stats.playerScore8,stats.playerScore9,stats.quadraKills,stats.sightWardsBoughtInGame,stats.timeCCingOthers,stats.totalDamageDealt,stats.totalDamageDealtToChampions,stats.totalDamageTaken,stats.totalHeal,stats.totalMinionsKilled,stats.totalPlayerScore,stats.totalScoreRank,stats.totalTimeCrowdControlDealt,stats.totalUnitsHealed,stats.tripleKills,stats.trueDamageDealt,stats.trueDamageDealtToChampions,stats.trueDamageTaken,stats.turretKills,stats.unrealKills,stats.visionScore,stats.visionWardsBoughtInGame,stats.wardsKilled,stats.wardsPlaced,stats.win,teamId,timeline.creepsPerMinDeltas.0-10,timeline.creepsPerMinDeltas.10-20,timeline.creepsPerMinDeltas.20-30,timeline.creepsPerMinDeltas.30-end,timeline.csDiffPerMinDeltas.0-10,timeline.csDiffPerMinDeltas.10-20,timeline.csDiffPerMinDeltas.20-30,timeline.csDiffPerMinDeltas.30-end,timeline.damageTakenDiffPerMinDeltas.0-10,timeline.damageTakenDiffPerMinDeltas.10-20,timeline.damageTakenDiffPerMinDeltas.20-30,timeline.damageTakenDiffPerMinDeltas.30-end,timeline.damageTakenPerMinDeltas.0-10,timeline.damageTakenPerMinDeltas.10-20,timeline.damageTakenPerMinDeltas.20-30,timeline.damageTakenPerMinDeltas.30-end,timeline.goldPerMinDeltas.0-10,timeline.goldPerMinDeltas.10-20,timeline.goldPerMinDeltas.20-30,timeline.goldPerMinDeltas.30-end,timeline.lane,timeline.participantId,timeline.role,timeline.xpDiffPerMinDeltas.0-10,timeline.xpDiffPerMinDeltas.10-20,timeline.xpDiffPerMinDeltas.20-30,timeline.xpDiffPerMinDeltas.30-end,timeline.xpPerMinDeltas.0-10,timeline.xpPerMinDeltas.10-20,timeline.xpPerMinDeltas.20-30,timeline.xpPerMinDeltas.30-end,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,towerKills,vilemawKills,win,countnumber
2,2018-10-12 06:08:41.227,2586,2885438100,CLASSIC,MATCHED_GAME,8.20.248.3196,11,NA1,400,11,2018-10-12,8.2,3,218766345,218766345,NA1,/v1/stats/player_history/NA1/218766345,NA1,3776,61079726,Skeevo,19,BRONZE,4,11,12,18,0,22382,1467,35657,6,0,False,False,False,False,False,False,14005,13175,0,1401,3748,3047,3742,3065,1042,3340,0,4,0,0,1,809,70952,10402,26755,134,4,90,0,3,0,8005,2903,2008,894,9111,1660,320,0,9104,17,40,0,8014,283,0,0,8234,42,0,0,8236,48,0,0,8000,8200,96762,6030,24038,0,0,0,0,0,0,0,0,0,0,0,0,23,179724,16752,52660,21211,66,0,0,683,1,0,12010,320,1867,1,0,35,1,1,12,False,100,0.0,1.6,1.9,2.8,,,,,,,,,629.9,1186.2,955.9,1578.9,258.7,309.3,310.7,414.7,JUNGLE,3,NONE,,,,,324.29999999999995,389.1,472.2,702.9,0,0,3,False,False,True,False,True,True,1,1,7,0,0,1
3,2018-10-12 06:08:41.227,2586,2885438100,CLASSIC,MATCHED_GAME,8.20.248.3196,11,NA1,400,11,2018-10-12,8.2,4,231710330,231710330,NA1,/v1/stats/player_history/NA1/231710330,NA1,3460,73012371,jokokoloko,84,SILVER,12,4,6,18,0,1381,1175,8452,5,2,False,False,False,False,False,False,16308,14675,0,3907,3146,3165,3135,3020,1058,3363,3,13,0,6,2,802,159358,27834,16574,0,0,0,0,4,0,8112,2202,0,0,8143,907,0,0,8138,30,0,0,8135,2985,5,0,8234,31,0,0,8237,676,0,0,8100,8200,23978,3745,8154,0,0,0,0,0,0,0,0,0,0,0,0,10,186780,31850,25904,10615,238,0,0,139,1,0,3444,270,1176,0,0,49,1,1,15,False,100,6.0,4.199999999999999,6.0,6.9,1.0,-2.1,-1.5,0.399999999999999,77.30000000000001,-310.2,-205.80000000000007,-557.8999999999999,243.5,356.0,841.8,836.7,272.2,374.3,430.8,417.6,MIDDLE,4,SOLO,20.899999999999977,-57.29999999999998,29.69999999999996,153.59999999999994,401.0,418.29999999999995,514.0999999999999,563.5999999999999,0,0,3,False,False,True,False,True,True,1,1,7,0,0,1
4,2018-10-12 06:08:41.227,2586,2885438100,CLASSIC,MATCHED_GAME,8.20.248.3196,11,NA1,400,11,2018-10-12,8.2,5,226905149,226905149,NA1,/v1/stats/player_history/NA1/226905149,NA1,988,64811789,Channsanity,74,SILVER,12,4,9,18,0,18258,1588,10686,7,0,False,False,False,False,False,True,16488,16100,1,3102,3285,3157,3020,3165,3135,3340,3,7,0,2,1,622,232250,50275,13870,23,9,4,0,5,0,8229,3773,0,0,8226,250,1165,0,8233,29,20,0,8236,80,0,0,8313,0,0,0,8347,0,0,0,8200,8300,21447,2081,10790,0,0,0,0,0,0,0,0,0,0,0,0,23,255878,53893,26063,3273,256,0,0,208,1,0,2181,1536,1402,2,0,40,0,3,15,False,100,6.2,8.1,4.4,6.699999999999999,,,,,,,,,303.0,488.7,561.1,749.8,234.1,453.6,405.1,451.5,JUNGLE,5,NONE,,,,,450.3,526.6,448.9,634.2,0,0,3,False,False,True,False,True,True,1,1,7,0,0,1
35,2018-10-09 05:22:54.038,2263,2883647235,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,6,218766345,218766345,NA1,/v1/stats/player_history/NA1/218766345,NA1,3632,61079726,Skeevo,21,BRONZE,4,7,9,17,0,6479,6479,9909,5,0,False,False,True,False,False,False,17646,16520,0,3147,3142,3094,3006,3071,3026,3340,2,11,863,8,1,792,7072,1736,6741,4,0,0,0,6,0,8005,2932,2121,811,9111,750,400,0,9104,17,10,0,8014,711,0,0,8234,31,0,0,8236,28,0,0,8000,8200,195633,37996,13048,0,0,0,0,0,0,0,0,0,0,0,0,6,207617,40023,20576,3696,276,0,0,240,3,0,4912,290,786,2,0,23,0,6,8,False,200,5.4,7.5,7.1,11.4,-1.15,-1.549999999999999,-0.5999999999999991,1.0,-145.60000000000002,-130.15000000000003,-156.84999999999994,-329.5000000000002,293.9,499.40000000000003,647.7,897.8,278.9,385.8,650.0999999999999,607.4,BOTTOM,6,DUO_CARRY,10.399999999999991,-20.75,73.5,-13.300000000000011,303.9,399.2,650.4000000000001,547.8,0,0,0,False,False,False,True,False,False,1,0,4,0,0,1
36,2018-10-09 05:22:54.038,2263,2883647235,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,7,37986663,37986663,NA1,/v1/stats/player_history/NA/37986663,NA,3632,23924232,Sheldor,99,BRONZE,4,3,9,14,0,478,478,8446,6,0,False,False,False,False,False,False,9084,8875,0,2424,3092,3108,3020,3285,3191,3364,0,1,0,0,1,791,49868,11267,5396,8,0,4,0,7,0,8214,629,405,0,8226,250,1011,0,8210,20,0,0,8237,338,0,0,8347,0,0,0,8313,0,0,0,8200,8300,3857,674,8723,0,0,0,0,0,0,0,0,0,0,0,0,64,53770,11986,14650,639,45,0,0,269,1,0,45,45,530,1,0,64,9,6,28,False,200,0.7000000000000001,0.7000000000000001,0.899999999999999,1.6,-1.15,-1.549999999999999,-0.5999999999999991,1.0,-145.60000000000002,-130.15000000000003,-156.84999999999994,-329.5000000000002,157.0,322.0,417.8,706.8,176.89999999999998,212.39999999999998,270.5,232.0,BOTTOM,7,DUO_SUPPORT,10.399999999999991,-20.75,73.5,-13.300000000000011,289.6,330.5,315.0,406.2,0,0,0,False,False,False,True,False,False,1,0,4,0,0,1
37,2018-10-09 05:22:54.038,2263,2883647235,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,8,231710330,231710330,NA1,/v1/stats/player_history/NA1/231710330,NA1,3460,73012371,jokokoloko,74,SILVER,12,4,8,18,0,3033,3033,8734,3,0,False,False,False,True,False,False,11659,10885,1,3116,3165,3027,1052,3020,1028,3340,0,2,0,0,1,1028,139030,18788,9593,0,0,0,0,8,0,8229,2258,0,0,8226,250,959,0,8210,0,0,0,8237,537,0,0,8126,487,0,0,8106,5,0,0,8200,8100,25623,362,13602,0,0,0,0,0,0,0,0,0,0,0,0,15,166948,19642,25542,6853,214,0,0,706,1,0,2295,490,2346,0,0,26,0,0,13,False,200,5.7,6.6,6.6,2.2,-0.6999999999999991,0.29999999999999905,1.3,-0.199999999999999,-79.80000000000001,65.9,580.9000000000001,940.5999999999999,118.39999999999999,464.40000000000003,1153.8000000000002,1410.8,216.10000000000002,307.6,374.5,276.2,MIDDLE,8,SOLO,9.099999999999994,162.60000000000002,213.7,-301.0,458.1,557.0,573.0,263.6,0,0,0,False,False,False,True,False,False,1,0,4,0,0,1
39,2018-10-09 05:22:54.038,2263,2883647235,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,10,37545502,37545502,NA1,/v1/stats/player_history/NA/37545502,NA,3776,23455234,BokuWaHenry,555,GOLD,11,4,6,16,0,6192,2142,29929,8,2,False,False,True,False,False,False,13561,12850,0,3075,3117,1400,3742,3147,0,3340,3,10,9,4,3,453,11866,617,12272,121,0,98,0,10,0,8112,932,0,0,8126,599,0,0,8136,8,243,0,8106,5,0,0,8232,3,40,0,8234,21,0,0,8100,8200,132776,10914,23283,0,0,0,0,0,0,0,0,0,0,0,0,29,160687,16627,38233,15419,42,0,0,1085,1,1,16044,5096,2677,0,0,57,3,4,24,False,200,0.0,0.6000000000000001,1.7000000000000002,1.6,-0.4,0.199999999999999,0.9,0.6000000000000001,156.20000000000002,326.9,-203.30000000000007,-409.20000000000005,622.6,934.3,1295.4,1193.2,211.0,329.20000000000005,510.20000000000005,346.8,JUNGLE,10,NONE,-14.799999999999983,-41.30000000000001,158.90000000000003,-216.39999999999998,247.0,468.0,571.9000000000001,384.0,0,0,0,False,False,False,True,False,False,1,0,4,0,0,1
45,2018-10-09 04:38:16.167,2152,2883621071,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,6,218766345,218766345,NA1,/v1/stats/player_history/NA1/218766345,NA1,3632,61079726,Skeevo,236,BRONZE,4,7,4,15,0,5243,5243,7461,5,0,False,False,False,False,False,False,11344,10550,0,3094,3153,0,1001,3071,1042,3340,0,3,430,0,1,685,13146,1881,2427,10,2,8,0,6,0,8005,1737,1182,555,9111,331,140,0,9104,20,40,0,8014,315,0,0,8234,12,0,0,8236,28,0,0,8000,8200,135950,12738,14343,0,0,0,0,0,0,0,0,0,0,0,0,0,149328,14716,18254,2248,203,0,0,46,3,0,232,96,1484,1,0,20,0,1,10,False,200,5.3,6.3,5.300000000000001,6.8,-0.7000000000000001,-1.4999999999999991,-3.649999999999999,-1.5999999999999992,143.95000000000002,-30.900000000000034,41.20000000000002,-7.399999999999977,277.5,446.0,611.0,431.4,199.7,347.0,376.7,301.0,BOTTOM,6,DUO_CARRY,-62.849999999999994,-11.69999999999996,-118.85,-217.39999999999998,301.8,416.3,431.2,351.8,0,0,0,False,True,False,False,True,False,0,1,4,0,0,1
46,2018-10-09 04:38:16.167,2152,2883621071,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,7,37986663,37986663,NA1,/v1/stats/player_history/NA/37986663,NA,3632,23924232,Sheldor,412,BRONZE,4,3,11,13,0,597,597,13341,4,0,False,False,False,False,False,False,8768,7900,0,3069,3107,3190,2055,3117,1028,3364,0,1,0,0,1,967,7287,4563,2896,4,0,0,0,7,0,8112,304,0,0,8143,53,0,0,8138,18,0,0,8106,4,0,0,8226,250,112,0,8210,0,0,0,8100,8200,3520,926,10883,0,0,0,0,0,0,0,0,0,0,0,0,36,13248,6681,15097,1793,22,0,0,99,4,0,2440,1190,1318,1,0,74,8,14,36,False,200,0.2,0.7000000000000001,0.7000000000000001,1.2,-0.7000000000000001,-1.4999999999999991,-3.649999999999999,-1.5999999999999992,143.95000000000002,-30.900000000000034,41.20000000000002,-7.399999999999977,311.6,336.9,325.4,486.8,148.8,254.0,311.4,202.2,BOTTOM,7,DUO_SUPPORT,-62.849999999999994,-11.69999999999996,-118.85,-217.39999999999998,203.9,317.70000000000005,432.5,236.2,0,0,0,False,True,False,False,True,False,0,1,4,0,0,1
47,2018-10-09 04:38:16.167,2152,2883621071,CLASSIC,MATCHED_GAME,8.19.246.5109,11,NA1,400,11,2018-10-09,8.19,8,231710330,231710330,NA1,/v1/stats/player_history/NA1/231710330,NA1,3460,73012371,jokokoloko,84,SILVER,12,4,10,17,0,5266,1781,11446,6,0,False,False,False,False,False,False,11596,11725,0,3116,3146,3165,1026,3020,0,3363,1,3,0,3,1,976,129542,14026,4439,6,0,1,0,8,0,8112,986,0,0,8143,448,0,0,8138,17,0,0,8135,2194,4,0,8473,513,0,0,8472,0,0,0,8100,8400,26731,3336,18069,0,0,0,0,0,0,0,0,0,0,0,0,11,157995,17453,23445,6260,231,0,0,180,1,0,1722,90,936,0,0,30,1,1,12,False,200,4.6,5.9,8.4,8.4,-2.599999999999999,-0.30000000000000004,2.5,3.6,-340.20000000000005,-479.9,-437.40000000000003,-515.0,266.2,583.0,765.2,751.0,271.3,326.8,330.20000000000005,341.6,TOP,8,SOLO,-72.4,29.99999999999997,62.30000000000001,22.599999999999966,422.70000000000005,471.6,570.6,521.8,0,0,0,False,True,False,False,True,False,0,1,4,0,0,1
